FR13606	AGRIFRCC836	Caisse régionale de crédit agricole mutuel d'Ille-et-Vilaine
FR13698	ESFTFR21XXX	Ester finance technologies
FR13733		The bank of New York Mellon SA/NV
FR13769		Société générale pour le développement des opérations de crédit-bail immobilier- Sogebail
FR13807	CCBPFRPPNAN	Banque populaire Grand Ouest
FR13825		Caisse d'épargne et de prévoyance de Rhône Alpes
FR13838		CNH Industrial Capital Europe
FR13878		Toyota Kreditbank GmbH - Toyota France financement
FR13906	AGRIFRCC839	Caisse régionale de crédit agricole mutuel Sud Rhône-Alpes
FR14006	AGRIGPGXXXX	Caisse régionale de crédit agricole mutuel de la Guadeloupe
FR14078		Caisse de crédit municipal de Lille
FR14120	LEGRFRP1XXX	GRESHAM Banque
FR14218		Claas financial services
FR14265		Caisse d'épargne et de prévoyance Loire Drôme Ardèche
FR14318		BRED Gestion
FR14328		Amundi finance
FR14388	DXMAFRPPXXX	Caisse Française de Financement Local
FR14406	AGRIFRCC844	Caisse régionale de crédit agricole mutuel Val de France
FR14445		Caisse d'épargne et de prévoyance Bretagne-Pays de Loire
FR14478		ROTHSCHILD & CO WEALTH MANAGEMENT MONACO
FR14505		Caisse d'épargne et de prévoyance Loire-Centre
FR14506	AGRIFRCC845	CR CREDIT AGRICOLE MUTUEL LOIRE HTE LOIR
FR14508	BAERMCMCXXX	BANK JULIUS BAER (MONACO) S.A.M.
FR14518		ARKEA DIRECT BANK
FR14607	CCBPFRPPMAR	BANQUE POPULAIRE MEDITERRANEE
FR14628	GRCSFRP1XXX	FLOA
FR14633	WUIGFRP1XXX	Western union international bank GmbH
FR14648		Capitole Finance - Tofinso
FR14658		CIF EUROMORTGAGE
FR24833		State Street Bank International GmbH
FR17188		AXA Home Loan SFH
FR25533		Goldman Sachs Bank Europe SE
FR25933		DekaBank Deutsche Girozentrale
FR25833		Macquarie Bank Europe Designated Activity Company
FR17288		Bank PICTET & CIE (Europe) AG
